,Course Name/Group Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,start_time123,end_time123,day4,day5,start_time456,end_time456,start_time7,end_time7,day7,start_time8,end_time8,day8
758,STRUCTURE AND CHARACTERIZATION OF MATERIALS(MSE615),3-0-0-0(9),TANMOY MAITI(I),MTh 14:00-15:15,,,M,Th,,14:00 PM,15:15 PM,,,,,,,,,,
759,STRUCTURE AND CHARACTERIZATION OF MATERIALS(MSE615A),3-0-0-0(9),TANMOY MAITI(I),M (WL226) Th (WL226)  14:00-15:15,,,M,Th,,14:00 PM,15:15 PM,,,,,,,,,,
760,TRANSPORT PHENOMENA(MSE626),3-1-0-0(5),Arunabh Meshram(I),MTh 10:30-12:00,,,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
761,TRANSPORT PHENOMENA(MSE626A),3-0-0-0(9),Arunabh Meshram(I),M (WL235) Th (WL235)  10:30-12:00,,,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
762,ELECTRONIC DEVICES AND CHARACTERIZATION(MSE628),3-0-0-0(9),Shikhar Misra(I),WF 10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
763,ELECTRONIC DEVICES AND CHARACTERIZATION(MSE628A),3-0-0-0(9),Shikhar Misra(I),W (T102) F (T102)  10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
764,PHYSICAL & MATHEMATICAL MODELLING OF STEELMAKING PROCESSES(MSE629),3-0-0-0(9),DIPAK  MAZUMDAR (I),"T 10:00-11:00 ,WF 15:00-16:00 ,M 17:00-18:00",,,T,1,,10:00 AM,11:00 AM,W,F,15:00 PM,16:00 PM,17:00 PM,18:00 PM,M,,,
765,PHYSICAL & MATHEMATICAL MODELLING OF STEELMAKING PROCESSES(MSE629A),3-0-0-0(9),DIPAK  MAZUMDAR (I),"T (T212)  10:00-11:00 ,W (T212) F (T212)  15:00-16:00 ,M (T212)  17:00-18:00",,,T,1,,10:00 AM,11:00 AM,W,F,15:00 PM,16:00 PM,17:00 PM,18:00 PM,M,,,
766,MICROSCOPY AND MICROANALYSIS OF MATERIALS(MSE642),3-0-0-0(9),NILESH PRAKASH GURAO(I),TWTh 08:00-09:00,,,T,W,T,8:00 AM,9:00 AM,,,,,,,,,,
767,MICROSCOPY AND MICROANALYSIS OF MATERIALS(MSE642A),3-0-0-0(9),NILESH PRAKASH GURAO(I),T (L10) W (L10) Th (L10)  08:00-09:00,,,T,W,T,8:00 AM,9:00 AM,,,,,,,,,,
768,ADVANCE CHARACTERIZATION TECHNIQUES FOR PHOTOVOLTAIC DEVICES AND MATERIALS(MSE645),3-0-0-0(9),SARANG  INGOLE (I),"MF 08:00-09:00 ,T 09:00-10:00",,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM,,,,,,
769,ADVANCE CHARACTERIZATION TECHNIQUES FOR PHOTOVOLTAIC DEVICES AND MATERIALS(MSE645A),3-0-0-1(10),SARANG  INGOLE (I),"M (T212) F (T212)  08:00-09:00 ,T (T212)  09:00-10:00",,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM,,,,,,
770,ADVANCED CORROSION SCIENCE AND TECHNOLOGY(MSE654),3-0-0-0(9),Raghupathy Yuvaraj(I),M (T206) Th (T206)  12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
771,ADVANCED CORROSION SCIENCE AND TECHNOLOGY(MSE654A),3-0-0-0(9),Raghupathy Yuvaraj(I),MTh 12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
772,DISLOCATIONS AND PLASTICITY(MSE658),3-0-0-0(9),Niraj Chawake(I),MTh 09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
773,DISLOCATIONS AND PLASTICITY(MSE658A),3-0-0-0(9),Niraj Chawake(I),M (T110) Th (T110)  09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
774,POWDER METALLURGY(MSE659),3-0-0-0(9),ANISH  UPADHYAYA (I),"T 14:00-15:15 ,M 15:30-17:00",,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM,,,,,,
775,POWDER METALLURGY(MSE659A),3-0-0-0(9),ANISH  UPADHYAYA (I),"T (L05)  14:00-15:15 ,M (L05)  15:30-17:00",,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM,,,,,,
776,SOLIDIFICATION PROCESSING(MSE670),3-0-0-0(9),AMARENDRA KUMAR SINGH(I),WF 15:30-17:00,,,W,F,,15:30 PM,17:00 PM,,,,,,,,,,
777,SOLIDIFICATION PROCESSING(MSE670A),3-0-0-0(9),AMARENDRA KUMAR SINGH(I),W (T108) F (T108)  15:30-17:00,,,W,F,,15:30 PM,17:00 PM,,,,,,,,,,
778,HEAT TREATMENT AND SURFACE HARDENING(MSE671),3-0-0-0(9),KAUSTUBH NARHAR KULKARNI(I),"T 11:00-12:00 ,WF 16:00-17:00 ,Th 17:00-18:00",,,T,1,,11:00 AM,12:00 PM,W,F,16:00 PM,17:00 PM,17:00 PM,18:00 PM,Th,,,
779,HEAT TREATMENT AND SURFACE HARDENING(MSE671A),3-0-0-0(9),KAUSTUBH NARHAR KULKARNI(I),"T (L11)  11:00-12:00 ,W (L11) F (L11)  16:00-17:00",,,T,1,,11:00 AM,12:00 PM,W,F,16:00 PM,17:00 PM,,,,,,
780,SEMINAR PARTICIPATION(MSE690),0-0-0-0(0),"VIVEK  VERMA (I), Rahul Sarkar(O)",WF 17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
781,SEMINAR PARTICIPATION(MSE690A),0-0-0-0(0),"VIVEK  VERMA (I), Rahul Sarkar(O)",WF 17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
782,SEMINAR PRESENTATION(MSE691),0-0-0-0(0),"VIVEK  VERMA (I), Rahul Sarkar(O)",WF 17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
783,SEMINAR PRESENTATION(MSE691A),0-0-0-0(0),"VIVEK  VERMA (I), Rahul Sarkar(O)",W (WL226) F (WL226)  17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
784,MATERIALS SCIENCE TECHNOLOGIES FOR APPLICATIONS IN LIFE SCIENCES(MSE693),3-0-0-0(9),KANTESH  BALANI (I),WF 09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
785,MATERIALS SCIENCE TECHNOLOGIES FOR APPLICATIONS IN LIFE SCIENCES(MSE693A),3-0-0-0(9),KANTESH  BALANI (I),W (WL228) F (WL228)  09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
786,NANOSTRUCTURES AND NANOMATERIALS: CHARACTERIZATION AND PROPERTIES(MSE694),3-0-0-0(9),Shikhar  Jha(I),WF 12:00-13:15,,,W,F,,12:00 PM,13:15 PM,,,,,,,,,,
787,NANOSTRUCTURES AND NANOMATERIALS: CHARACTERIZATION AND PROPERTIES(MSE694A),3-0-0-0(9),Shikhar  Jha(I),W (WL237) F (WL237)  12:00-13:15,,,W,F,,12:00 PM,13:15 PM,,,,,,,,,,
788,M.TECH THESIS(MSE699),0-0-0-0(0),"DPGCMSE (I), DUGCMSE (O)",,,,,,,,,,,,,,,,,,
789,PH D THESIS(MSE799),0-0-0-0(0),DPGCMSE (I),,,,,,,,,,,,,,,,,,
790,MANUFACTURING PROCESSES I(TA201A),1-0-3-0(6),SUDHANSHU SHEKHAR  SINGH (I),T 09:00-10:00,,MTW 14:00-17:00,T,0,,9:00 AM,10:00 AM,,,,,,,,,,
791,MANUFACTURING PROCESSES I(TA211),0-0-3-0(3),SUDHANSHU SHEKHAR  SINGH (I),,,MTW 14:00-17:00,,,,,,,,,,,,,,,
